name,author,narrator,time,releasedate,language,stars,price,ratings
Outbreak,C.AlexanderLondon,DavidPittu,376,2016-01-10,English,0,434,0
Return to Black Bear Mountain,FranklinW.Dixon,TimGregory,237,2020-02-25,English,5,305,4
A King's Ransom,JudeWatson,DavidPittu,284,2011-06-12,English,5,586,3
A rejtélyes kulcs,KertészEdina,SzinetárDóra,62,2021-11-06,hungarian,0,166,0
A contrarreloj,L.C.Lillo,PabloCanovasLozano,59,2021-07-06,spanish,0,115,0
The Secret Detectives,EllaRisbridger,TaniaRodrigues,481,2021-03-06,English,0,493,0
Geister sind unser Geschäft,JanaScheerer,NilsKretschmer,338,2021-05-21,german,0,401,0
Gefahr ist unser Geschäft,JanaScheerer,NilsKretschmer,329,2021-05-21,german,0,401,0
"Sarah-Lou, detective très privé [Sarah-Lou, Very Private Detective]",AudréeArchambault,MarionNolasco,114,2021-04-06,french,0,389,0
Terreur à l'auberge du lac [Terror at the Lake Inn],ÉmilieRivard,MartinGougeon,161,2021-05-13,french,0,441,0
Terreur à la clinique Doodle [Terror at the Doodle Clinic],ÉmilieRivard,MartinGougeon,162,2021-06-14,french,0,441,0
Kate on the Case,HannahPeck,CharlieSanderson,79,2021-05-13,English,0,569,0
Storytime Collection: Mystery & Adventure,"ValerieHouston,HighlightsforChildren",HighlightsforChildren,125,2021-05-18,English,0,468,0
The Explorer's Code,AlisonK.Hymas,LaciMorgan,458,2021-06-15,English,0,422,0
The Grave Digger,RebeccaBischoff,MarkSanderlin,334,2021-05-25,English,0,375,0
Twitch,M.G.Leonard,M.G.Leonard,385,2021-09-06,English,0,569,0
The Shadow Arts,DamienLove,ChrisDevon,626,2021-05-20,English,0,645,0
Elizabeth & Zenobia,JessicaMiller,ShiromiArserio,264,2021-07-28,English,0,417,0
Secrets and Shadows,RLFerguson,HomerTodiwala,561,2021-09-28,English,0,569,0
Die Dame mit den schwarzlackierten Fingernägeln und andere Geschichten,WolfgangEcke,HansJürgenDiedrich,46,2021-04-30,german,0,166,0
Der General der Zwerge und andere Geschichten,WolfgangEcke,HansJürgenDiedrich,55,2021-07-05,german,0,166,0
Das Rätsel des verlorenen Schatzes,ChristinaHerr,MaxHoffmann,188,2021-04-19,german,0,233,0
Anouks Spiel,AkramEl-Bahay,CathlenGawlich,555,2021-04-22,german,0,501,0
Reset Day,CarlyAnneWest,JesseVilinsky,340,2021-04-05,English,0,492,0
Buscapistas: El Caso Del Trofeo desaparecido (Narración en Castellano),"TeresaBlanch,JoséÁngelLabariIlundain","EvaColl,LolaSans,SarahMuñiz",45,2021-04-15,spanish,0,268,0
The Art of Secrets,JamesKlise,"DanBittner,DeniseAshlynd,JoshRivedal,",351,2014-04-22,English,0,632,0
Znak czterech,ArthurConanDoyle,MaciejWięckowski,151,2021-07-05,polish,0,334,0
Studium w szkarłacie,ArthurConanDoyle,MaciejWięckowski,129,2021-07-05,polish,0,334,0
